# start	end	mode	name  (end = start+size-1; 0 = size unknown)
0x08004578	0x080045A3	thumb	GetNumActiveWindowsOnBg8Bit
0x080045A4	0x080045AF	thumb	SetFontsPointer
0x080045B0	0x080045CF	thumb	DeactivateAllTextPrinters
0x080045D0	0x0800467B	thumb	AddTextPrinterParameterized
0x0800467C	0x08004777	thumb	AddTextPrinter
0x08004778	0x080047FF	thumb	RunTextPrinters
0x08004800	0x08004817	thumb	IsTextPrinterActive
0x08004818	0x08004843	thumb	RenderFont
0x08004844	0x08004BDF	thumb	GenerateFontHalfRowLookupTable
0x08004BE0	0x08004BFF	thumb	SaveTextColors
0x08004C00	0x08004C0F	thumb	RestoreTextColors
0x08004C10	0x08004D57	thumb	DecompressGlyphTile
0x08004D58	0x08004D9D	thumb	GetLastTextColor
0x08004DA0	0x080052C7	thumb	CopyGlyphToWindow
0x080052C8	0x0800533B	thumb	ClearTextSpan
0x0800533C	0x0800536D	thumb	FontFunc_Small
0x08005370	0x080053A5	thumb	FontFunc_Normal
0x080053A8	0x080053DD	thumb	FontFunc_Short
0x080053E0	0x08005415	thumb	FontFunc_ShortCopy1
0x08005418	0x0800544D	thumb	FontFunc_ShortCopy2
0x08005450	0x08005485	thumb	FontFunc_ShortCopy3
0x08005488	0x080054BD	thumb	FontFunc_Narrow
0x080054C0	0x080054F5	thumb	FontFunc_SmallNarrow
0x080054F8	0x08005527	thumb	TextPrinterInitDownArrowCounters
0x08005528	0x080055FF	thumb	TextPrinterDrawDownArrow
0x08005600	0x08005631	thumb	TextPrinterClearDownArrow
0x08005634	0x0800564D	thumb	TextPrinterWaitAutoMode
0x08005650	0x0800569B	thumb	TextPrinterWaitWithDownArrow
0x0800569C	0x080056DF	thumb	TextPrinterWait
0x080056E0	0x080057B3	thumb	DrawDownArrow
0x080057B4	0x08005D73	thumb	RenderText
0x08005D74	0x08005EA5	thumb	GetStringWidthFixedWidthFont
0x08005EA8	0x08005ED5	thumb	GetFontWidthFunc
0x08005ED8	0x0800613D	thumb	GetStringWidth
0x08006140	0x080062E7	thumb	RenderTextHandleBold
0x080062E8	0x08006337	thumb	DrawKeypadIcon
0x08006338	0x08006347	thumb	GetKeypadIconTileOffset
0x08006348	0x08006357	thumb	GetKeypadIconWidth
0x08006358	0x08006367	thumb	GetKeypadIconHeight
0x08006368	0x08006377	thumb	SetDefaultFontsPointer
0x08006378	0x0800645F	thumb	GetFontAttribute
0x08006460	0x08006477	thumb	GetMenuCursorDimensionByFont
0x08006478	0x0800653F	thumb	DecompressGlyph_Small
0x08006540	0x0800655D	thumb	GetGlyphWidth_Small
0x08006560	0x08006627	thumb	DecompressGlyph_Narrow
0x08006628	0x08006645	thumb	GetGlyphWidth_Narrow
0x08006648	0x0800670F	thumb	DecompressGlyph_SmallNarrow
0x08006710	0x0800672D	thumb	GetGlyphWidth_SmallNarrow
0x08006730	0x0800681B	thumb	DecompressGlyph_Short
0x0800681C	0x0800683F	thumb	GetGlyphWidth_Short
0x08006840	0x08006907	thumb	DecompressGlyph_Normal
0x08006908	0x08006925	thumb	GetGlyphWidth_Normal
0x08006928	0x08006973	thumb	DecompressGlyph_Bold
0x08006974	0x080069BF	thumb	ResetSpriteData
0x080069C0	0x08006A0B	thumb	AnimateSprites
0x08006A0C	0x08006A57	thumb	BuildOamBuffer
0x08006A58	0x08006B19	thumb	UpdateOamCoords
0x08006B1C	0x08006B5B	thumb	BuildSpritePriorities
0x08006B5C	0x08006D1B	thumb	SortSprites
0x08006D1C	0x08006D67	thumb	CopyMatricesToOamBuffer
0x08006D68	0x08006DF3	thumb	AddSpritesToOamBuffer
0x08006DF4	0x08006E47	thumb	CreateSprite
0x08006E48	0x08006EB1	thumb	CreateSpriteAtEnd
0x08006EB4	0x08006EFB	thumb	CreateInvisibleSprite
0x08006EFC	0x08007053	thumb	CreateSpriteAt
0x08007054	0x080070E7	thumb	CreateSpriteAndAnimate
0x080070E8	0x0800714F	thumb	DestroySprite
0x08007150	0x08007187	thumb	ResetOamRange
0x08007188	0x080071B7	thumb	LoadOam
0x080071B8	0x080071F7	thumb	ClearSpriteCopyRequests
0x080071F8	0x08007223	thumb	ResetOamMatrices
0x08007224	0x08007243	thumb	SetOamMatrix
0x08007244	0x08007257	thumb	ResetSprite
0x08007258	0x0800729B	thumb	CalcCenterToCornerVec
0x0800729C	0x080073B7	thumb	AllocSpriteTiles
0x080073B8	0x08007427	thumb	SpriteTileAllocBitmapOp
0x08007428	0x08007429	thumb	SpriteCallbackDummy
0x0800742C	0x08007487	thumb	ProcessSpriteCopyRequests
0x08007488	0x080074EB	thumb	RequestSpriteFrameImageCopy
0x080074EC	0x0800753B	thumb	RequestSpriteCopy
0x0800753C	0x08007563	thumb	CopyFromSprites
0x08007564	0x0800758B	thumb	CopyToSprites
0x0800758C	0x080075C7	thumb	ResetAllSprites
0x080075C8	0x080075E3	thumb	FreeSpriteTiles
0x080075E4	0x080075F1	thumb	FreeSpritePalette
0x080075F4	0x0800761F	thumb	FreeSpriteOamMatrix
0x08007620	0x0800763F	thumb	DestroySpriteAndFreeResources
0x08007640	0x08007687	thumb	AnimateSprite
0x08007688	0x08007777	thumb	BeginAnim
0x08007778	0x08007817	thumb	ContinueAnim
0x08007818	0x080078C3	thumb	AnimCmd_frame
0x080078C4	0x080078D9	thumb	AnimCmd_end
0x080078DC	0x080079A3	thumb	AnimCmd_jump
0x080079A4	0x080079C1	thumb	AnimCmd_loop
0x080079C4	0x080079FB	thumb	BeginAnimLoop
0x080079FC	0x08007A1B	thumb	ContinueAnimLoop
0x08007A1C	0x08007A8D	thumb	JumpToTopOfAnimLoop
0x08007A90	0x08007B23	thumb	BeginAffineAnim
0x08007B24	0x08007BD7	thumb	ContinueAffineAnim
0x08007BD8	0x08007C09	thumb	AffineAnimDelay
0x08007C0C	0x08007C3F	thumb	AffineAnimCmd_loop
0x08007C40	0x08007C7B	thumb	BeginAffineAnimLoop
0x08007C7C	0x08007CAB	thumb	ContinueAffineAnimLoop
0x08007CAC	0x08007D17	thumb	JumpToTopOfAffineAnimLoop
0x08007D18	0x08007D63	thumb	AffineAnimCmd_jump
0x08007D64	0x08007D9F	thumb	AffineAnimCmd_end
0x08007DA0	0x08007DD7	thumb	AffineAnimCmd_frame
0x08007DD8	0x08007DF7	thumb	CopyOamMatrix
0x08007DF8	0x08007E17	thumb	GetSpriteMatrixNum
0x08007E18	0x08007E27	thumb	SetSpriteMatrixAnchor
0x08007E28	0x08007E51	thumb	GetAnchorCoord
0x08007E54	0x08007EEF	thumb	UpdateSpriteMatrixAnchorPos
0x08007EF0	0x08007F61	thumb	SetSpriteOamFlipBits
0x08007F64	0x08007F7F	thumb	AffineAnimStateRestartAnim
0x08007F80	0x08007FA7	thumb	AffineAnimStateStartAnim
0x08007FA8	0x08007FCF	thumb	AffineAnimStateReset
0x08007FD0	0x08007FF3	thumb	ApplyAffineAnimFrameAbsolute
0x08007FF4	0x0800801B	thumb	DecrementAnimDelayCounter
0x0800801C	0x0800804B	thumb	DecrementAffineAnimDelayCounter
0x0800804C	0x080080E3	thumb	ApplyAffineAnimFrameRelativeAndUpdateMatrix
0x080080E4	0x080080FB	thumb	ConvertScaleParam
0x080080FC	0x08008167	thumb	GetAffineAnimFrame
0x08008168	0x080081A5	thumb	ApplyAffineAnimFrame
0x080081A8	0x080081BF	thumb	StartSpriteAnim
0x080081C0	0x080081D9	thumb	StartSpriteAnimIfDifferent
0x080081DC	0x08008255	thumb	SeekSpriteAnim
0x08008258	0x08008283	thumb	StartSpriteAffineAnim
0x08008284	0x080082B7	thumb	StartSpriteAffineAnimIfDifferent
0x080082B8	0x080082EF	thumb	ChangeSpriteAffineAnim
0x080082F0	0x08008323	thumb	ChangeSpriteAffineAnimIfDifferent
0x08008324	0x0800837B	thumb	SetSpriteSheetFrameTileNum
0x0800837C	0x080083AF	thumb	ResetAffineAnimData
0x080083B0	0x080083E7	thumb	AllocOamMatrix
0x080083E8	0x08008427	thumb	FreeOamMatrix
0x08008428	0x08008475	thumb	InitSpriteAffineAnim
0x08008478	0x080084F7	thumb	SetOamMatrixRotationScaling
0x080084F8	0x0800853B	thumb	LoadSpriteSheet
0x0800853C	0x08008565	thumb	LoadSpriteSheets
0x08008568	0x080085DF	thumb	FreeSpriteTilesByTag
0x080085E0	0x0800861F	thumb	FreeSpriteTileRanges
0x08008620	0x0800864B	thumb	GetSpriteTileStartByTag
0x0800864C	0x08008677	thumb	IndexOfSpriteTileTag
0x08008678	0x080086C3	thumb	GetSpriteTileTagByTileStart
0x080086C4	0x0800870B	thumb	AllocSpriteTileRange
0x0800870C	0x08008743	thumb	FreeAllSpritePalettes
0x08008744	0x0800878F	thumb	LoadSpritePalette
0x08008790	0x080087BB	thumb	LoadSpritePalettes
0x080087BC	0x080087D1	thumb	DoLoadSpritePalette
0x080087D4	0x08008803	thumb	AllocSpritePalette
0x08008804	0x0800883B	thumb	IndexOfSpritePaletteTag
0x0800883C	0x0800884B	thumb	GetSpritePaletteTagByPaletteNum
0x0800884C	0x08008873	thumb	FreeSpritePaletteByTag
0x08008874	0x0800887D	thumb	SetSubspriteTables
0x08008880	0x080088EB	thumb	AddSpriteToOamBuffer
0x080088EC	0x08008B0F	thumb	AddSubspritesToOamBuffer
0x08008B10	0x08008B41	thumb	StringCopy_Nickname
0x08008B44	0x08008B6D	thumb	StringGet_Nickname
0x08008B70	0x08008B9D	thumb	StringCopy_PlayerName
0x08008BA0	0x08008BBD	thumb	StringCopy
0x08008BC0	0x08008BD7	thumb	StringAppend
0x08008BD8	0x08008C05	thumb	StringCopyN
0x08008C08	0x08008C23	thumb	StringAppendN
0x08008C24	0x08008C43	thumb	StringLength
0x08008C44	0x08008C67	thumb	StringCompare
0x08008C68	0x08008C93	thumb	StringCompareN
0x08008C94	0x08008CBD	thumb	IsStringLengthAtLeast
0x08008CC0	0x08008D6F	thumb	ConvertIntToDecimalStringN
0x08008D70	0x08008E1F	thumb	ConvertUIntToDecimalStringN
0x08008E20	0x08008EDD	thumb	ConvertIntToHexStringN
0x08008EE0	0x08008FCB	thumb	StringExpandPlaceholders
0x08008FCC	0x08009029	thumb	StringBraille
0x0800902C	0x08009033	thumb	ExpandPlaceholder_UnknownStringVar
0x08009034	0x0800903F	thumb	ExpandPlaceholder_PlayerName
0x08009040	0x08009047	thumb	ExpandPlaceholder_StringVar1
0x08009048	0x0800904F	thumb	ExpandPlaceholder_StringVar2
0x08009050	0x08009057	thumb	ExpandPlaceholder_StringVar3
0x08009058	0x0800907B	thumb	ExpandPlaceholder_KunChan
0x0800907C	0x0800909F	thumb	ExpandPlaceholder_RivalName
0x080090A0	0x080090A7	thumb	ExpandPlaceholder_Version
0x080090A8	0x080090AF	thumb	ExpandPlaceholder_Aqua
0x080090B0	0x080090B7	thumb	ExpandPlaceholder_Magma
0x080090B8	0x080090BF	thumb	ExpandPlaceholder_Archie
0x080090C0	0x080090C7	thumb	ExpandPlaceholder_Maxie
0x080090C8	0x080090CF	thumb	ExpandPlaceholder_Kyogre
0x080090D0	0x080090D7	thumb	ExpandPlaceholder_Groudon
0x080090D8	0x080090FB	thumb	GetExpandedPlaceholder
0x080090FC	0x08009125	thumb	StringFill
0x08009128	0x0800917B	thumb	StringCopyPadded
0x0800917C	0x0800918B	thumb	StringFillWithTerminator
0x0800918C	0x080091C9	thumb	StringCopyN_Multibyte
0x080091CC	0x080091EB	thumb	StringLength_Multibyte
0x080091EC	0x08009225	thumb	WriteColorChangeControlCode
0x08009228	0x0800924B	thumb	IsStringJapanese
0x0800924C	0x0800927B	thumb	IsStringNJapanese
0x0800927C	0x08009297	thumb	GetExtCtrlCodeLength
0x08009298	0x080092B9	thumb	SkipExtCtrlCode
0x080092BC	0x08009305	thumb	StringCompareWithoutExtCtrlCodes
0x08009308	0x0800936D	thumb	ConvertInternationalString
0x08009370	0x080093CB	thumb	StripExtCtrlCodes
0x080093CC	0x08009401	thumb	IsWirelessAdapterConnected
0x08009404	0x08009411	thumb	Task_DestroySelf
0x08009414	0x080094E9	thumb	InitLinkTestBG
0x080094EC	0x0800956F	thumb	LoadLinkTestBgGfx
0x08009570	0x08009627	thumb	LinkTestScreen
0x08009628	0x08009637	thumb	SetLocalLinkPlayerId
0x08009638	0x080096BB	thumb	InitLocalLinkPlayer
0x080096BC	0x080096CD	thumb	VBlankCB_LinkError
0x080096D0	0x080096FB	thumb	InitLink
0x080096FC	0x08009733	thumb	Task_TriggerHandshake
0x08009734	0x080097E7	thumb	OpenLink
0x080097E8	0x08009817	thumb	CloseLink
0x08009818	0x080098FF	thumb	TestBlockTransfer
0x08009900	0x080099BB	thumb	LinkTestProcessKeyInput
0x080099BC	0x080099DF	thumb	CB2_LinkTest
0x080099E0	0x08009A57	thumb	LinkMain2
0x08009A58	0x08009A9F	thumb	HandleReceiveRemoteLinkPlayer
0x08009AA0	0x08009D8F	thumb	ProcessRecvCmds
0x08009D90	0x08009F17	thumb	BuildSendCmd
0x08009F18	0x08009F3B	thumb	StartSendingKeysToLink
0x08009F3C	0x08009F6D	thumb	IsSendingKeysToLink
0x08009F70	0x08009F8B	thumb	LinkCB_SendHeldKeys
0x08009F8C	0x08009FAB	thumb	ClearLinkCallback
0x08009FAC	0x08009FCB	thumb	ClearLinkCallback_2
0x08009FCC	0x08009FF7	thumb	GetLinkPlayerCount
0x08009FF8	0x0800A039	thumb	AreAnyLinkPlayersUsingVersions
