# addr	mode	name  (STT_FUNC from a byte-matching decomp ELF; blank name = let the finder synthesise one)
0x08008678	thumb	GetSpriteTileTagByTileStart
0x080086C4	thumb	AllocSpriteTileRange
0x0800870C	thumb	FreeAllSpritePalettes
0x08008744	thumb	LoadSpritePalette
0x08008790	thumb	LoadSpritePalettes
0x080087BC	thumb	DoLoadSpritePalette
0x080087D4	thumb	AllocSpritePalette
0x08008804	thumb	IndexOfSpritePaletteTag
0x0800883C	thumb	GetSpritePaletteTagByPaletteNum
0x0800884C	thumb	FreeSpritePaletteByTag
0x08008874	thumb	SetSubspriteTables
0x08008880	thumb	AddSpriteToOamBuffer
0x080088EC	thumb	AddSubspritesToOamBuffer
0x08008B10	thumb	StringCopy_Nickname
0x08008B44	thumb	StringGet_Nickname
0x08008B70	thumb	StringCopy_PlayerName
0x08008BA0	thumb	StringCopy
0x08008BC0	thumb	StringAppend
0x08008BD8	thumb	StringCopyN
0x08008C08	thumb	StringAppendN
0x08008C24	thumb	StringLength
0x08008C44	thumb	StringCompare
0x08008C68	thumb	StringCompareN
0x08008C94	thumb	IsStringLengthAtLeast
0x08008CC0	thumb	ConvertIntToDecimalStringN
0x08008D70	thumb	ConvertUIntToDecimalStringN
0x08008E20	thumb	ConvertIntToHexStringN
0x08008EE0	thumb	StringExpandPlaceholders
0x08008FCC	thumb	StringBraille
0x0800902C	thumb	ExpandPlaceholder_UnknownStringVar
0x08009034	thumb	ExpandPlaceholder_PlayerName
0x08009040	thumb	ExpandPlaceholder_StringVar1
0x08009048	thumb	ExpandPlaceholder_StringVar2
0x08009050	thumb	ExpandPlaceholder_StringVar3
0x08009058	thumb	ExpandPlaceholder_KunChan
0x0800907C	thumb	ExpandPlaceholder_RivalName
0x080090A0	thumb	ExpandPlaceholder_Version
0x080090A8	thumb	ExpandPlaceholder_Aqua
0x080090B0	thumb	ExpandPlaceholder_Magma
0x080090B8	thumb	ExpandPlaceholder_Archie
0x080090C0	thumb	ExpandPlaceholder_Maxie
0x080090C8	thumb	ExpandPlaceholder_Kyogre
0x080090D0	thumb	ExpandPlaceholder_Groudon
0x080090D8	thumb	GetExpandedPlaceholder
0x080090FC	thumb	StringFill
0x08009128	thumb	StringCopyPadded
0x0800917C	thumb	StringFillWithTerminator
0x0800918C	thumb	StringCopyN_Multibyte
0x080091CC	thumb	StringLength_Multibyte
0x080091EC	thumb	WriteColorChangeControlCode
0x08009228	thumb	IsStringJapanese
0x0800924C	thumb	IsStringNJapanese
0x0800927C	thumb	GetExtCtrlCodeLength
0x08009298	thumb	SkipExtCtrlCode
0x080092BC	thumb	StringCompareWithoutExtCtrlCodes
0x08009308	thumb	ConvertInternationalString
0x08009370	thumb	StripExtCtrlCodes
0x080093CC	thumb	IsWirelessAdapterConnected
0x08009404	thumb	Task_DestroySelf
0x08009414	thumb	InitLinkTestBG
0x080094EC	thumb	LoadLinkTestBgGfx
0x08009570	thumb	LinkTestScreen
0x08009628	thumb	SetLocalLinkPlayerId
0x08009638	thumb	InitLocalLinkPlayer
0x080096BC	thumb	VBlankCB_LinkError
0x080096D0	thumb	InitLink
0x080096FC	thumb	Task_TriggerHandshake
0x08009734	thumb	OpenLink
0x080097E8	thumb	CloseLink
0x08009818	thumb	TestBlockTransfer
0x08009900	thumb	LinkTestProcessKeyInput
0x080099BC	thumb	CB2_LinkTest
0x080099E0	thumb	LinkMain2
0x08009A58	thumb	HandleReceiveRemoteLinkPlayer
0x08009AA0	thumb	ProcessRecvCmds
0x08009D90	thumb	BuildSendCmd
0x08009F18	thumb	StartSendingKeysToLink
0x08009F3C	thumb	IsSendingKeysToLink
0x08009F70	thumb	LinkCB_SendHeldKeys
0x08009F8C	thumb	ClearLinkCallback
0x08009FAC	thumb	ClearLinkCallback_2
0x08009FCC	thumb	GetLinkPlayerCount
0x08009FF8	thumb	AreAnyLinkPlayersUsingVersions
0x0800A03C	thumb	LinkDummy_Return2
0x0800A040	thumb	IsFullLinkGroupWithNoRS
0x0800A064	thumb	Link_AnyPartnersPlayingRubyOrSapphire
0x0800A07C	thumb	Link_AnyPartnersPlayingFRLG_JP
0x0800A0AC	thumb	OpenLinkTimed
0x0800A0C8	thumb	GetLinkPlayerDataExchangeStatusTimed
0x0800A23C	thumb	IsLinkPlayerDataExchangeComplete
0x0800A2A4	thumb	GetLinkPlayerTrainerId
0x0800A2BC	thumb	ResetLinkPlayers
