# start	end	mode	name  (end = start+size-1; 0 = size unknown)
0x08003AE0	0x08003B2F	thumb	musicPlayerFadeIn_sfx
0x08003B30	0x08003B57	thumb	musicPlayerFadeOut_sfx
0x08003B58	0x08003BA7	thumb	musicPlayerStop_bgm
0x08003BA8	0x08003BF7	thumb	musicPlayerStop_sfx
0x08003BF8	0x08003C1F	thumb	musicPlayerPause_bgm
0x08003C20	0x08003C47	thumb	musicPlayerContinue_bgm
0x08003C48	0x08003C87	thumb	musicPlayerUpdateVolume
0x08003C88	0x08003CCF	thumb	musicPlayerInitAndUpdateVolume
0x08003CD0	0x08003D13	thumb	musicPlayerSetPanpotClamped
0x08003D14	0x08003D33	thumb	getCurrentTrack
0x08003D34	0x08003D47	thumb	getPrevTrack
0x08003D48	0x08003D63	thumb	getMusicPlayerVolumePercent
0x08003D64	0x08003D81	thumb	isMusicPlayerPlaying_bgm
0x08003D84	0x08003DCD	thumb	getMusicPlayerIndex
0x08003DD0	0x08003DF5	thumb	getMusicPlayer_bgm
0x08003DF8	0x08003E1D	thumb	getMusicPlayer_sfx
0x08003E20	0x08003E59	thumb	percentToMPlayVolume
0x08003E5C	0x08003E9F	thumb	MPlayVolumeToPercent
0x08003EA0	0x08003ECB	thumb	storeMusicPlayerVolumes
0x08003ECC	0x08003EF7	thumb	retrieveMusicPlayerVolumes
0x08003EF8	0x08004043	thumb	sub_08003EF8
0x08004044	0x0800408B	thumb	sub_08004044
0x0800408C	0x08004113	thumb	sub_0800408C
0x08004114	0x0800444B	thumb	sub_08004114
0x0800444C	0x080044B7	thumb	sub_0800444C
0x080044B8	0x0800451B	thumb	sub_080044B8
0x0800451C	0x0800465F	thumb	sub_0800451C
0x08004660	0x08004793	thumb	sub_08004660
0x08004794	0x0800494B	thumb	sub_08004794
0x0800494C	0x08004BB7	thumb	sub_0800494C
0x08004BB8	0x08004CB7	thumb	sub_08004BB8
0x08004CB8	0x08004E63	thumb	sub_08004CB8
0x08004E64	0x08004F7B	thumb	sub_08004E64
0x08004F7C	0x08004FB3	thumb	sub_08004F7C
0x08004FB4	0x080050FB	thumb	sub_08004FB4
0x080050FC	0x080050FF	thumb	nullsub_1
0x08005100	0x08005103	thumb	nullsub_2
0x08005104	0x0800519B	thumb	exec_mode
0x0800519C	0x080051DF	thumb	sub_0800519C
0x080051E0	0x080052CF	thumb	sub_080051E0
0x080052D0	0x080052E3	thumb	sub_080052D0
0x080052E4	0x0800534F	thumb	sub_080052E4
0x08005350	0x08005353	thumb	nullsub_3
0x08005354	0x08005363	thumb	sub_08005354
0x08005364	0x080053CF	thumb	sub_08005364
0x080053D0	0x0800545B	thumb	sub_080053D0
0x0800545C	0x0800549F	thumb	sub_0800545C
0x080054A0	0x080055E3	thumb	sub_080054A0
0x080055E4	0x080056E3	thumb	sub_080055E4
0x080056E4	0x0800572F	thumb	sub_080056E4
0x08005730	0x08005843	thumb	sub_08005730
0x08005844	0x08005847	thumb	nullsub_60
0x08005848	0x0800588F	thumb	sub_08005848
0x08005890	0x080058D7	thumb	sub_08005890
0x080058D8	0x080058FF	thumb	sub_080058D8
0x08005900	0x08005A3B	thumb	sub_08005900
0x08005A3C	0x08005A6F	thumb	sub_08005A3C
0x08005A70	0x08005A93	thumb	sub_08005A70
0x08005A94	0x08005AD7	thumb	sub_08005A94
0x08005AD8	0x08005B33	thumb	sub_08005AD8
0x08005B34	0x08005B67	thumb	sub_08005B34
0x08005B68	0x08005BB3	thumb	sub_08005B68
0x08005BB4	0x08005BFB	thumb	sub_08005BB4
0x08005BFC	0x08005C13	thumb	sub_08005BFC
0x08005C14	0x08005C37	thumb	sub_08005C14
0x08005C38	0x08005C4B	thumb	sub_08005C38
0x08005C4C	0x08005D53	thumb	sub_08005C4C
0x08005D54	0x08005FB3	thumb	sub_08005D54
0x08005FB4	0x080061CB	thumb	sub_08005FB4
0x080061CC	0x080062EF	thumb	sub_080061CC
0x080062F0	0x080064A7	thumb	sub_080062F0
0x080064A8	0x080066B3	thumb	sub_080064A8
0x080066B4	0x0800677B	thumb	sub_080066B4
0x0800677C	0x080067B3	thumb	sub_0800677C
0x080067B4	0x080067DB	thumb	sub_080067B4
0x080067DC	0x0800684F	thumb	sub_080067DC
0x08006850	0x08006867	thumb	sub_08006850
0x08006868	0x0800687B	thumb	sub_08006868
0x0800687C	0x080068B7	thumb	sub_0800687C
0x080068B8	0x08006943	thumb	sub_080068B8
0x08006944	0x08006967	thumb	sub_08006944
0x08006968	0x08006A87	thumb	sub_08006968
0x08006A88	0x08006ACB	thumb	sub_08006A88
0x08006ACC	0x08006B3F	thumb	sub_08006ACC
0x08006B40	0x08006E7F	thumb	sub_08006B40
0x08006E80	0x08006F77	thumb	sub_08006E80
0x08006F78	0x0800724B	thumb	sub_08006F78
0x0800724C	0x08007317	thumb	sub_0800724C
0x08007318	0x08007357	thumb	sub_08007318
0x08007358	0x08007397	thumb	sub_08007358
0x08007398	0x0800775F	thumb	sub_08007398
0x08007760	0x08007AD3	thumb	sub_08007760
0x08007AD4	0x08007CBF	thumb	sub_08007AD4
0x08007CC0	0x08007CE7	thumb	sub_08007CC0
0x08007CE8	0x08007D17	thumb	sub_08007CE8
0x08007D18	0x08007D93	thumb	sub_08007D18
0x08007D94	0x08007DEB	thumb	sub_08007D94
0x08007DEC	0x08007E2B	thumb	sub_08007DEC
0x08007E2C	0x08007E53	thumb	sub_08007E2C
0x08007E54	0x08007F17	thumb	sub_08007E54
0x08007F18	0x08007F63	thumb	sub_08007F18
0x08007F64	0x08007FC7	thumb	sub_08007F64
0x08007FC8	0x0800800B	thumb	sub_08007FC8
0x0800800C	0x0800809B	thumb	sub_0800800C
0x0800809C	0x080080BB	thumb	sub_0800809C
0x080080BC	0x080080DB	thumb	sub_080080BC
0x080080DC	0x0800810F	thumb	sub_080080DC
0x08008110	0x080081FF	thumb	sub_08008110
0x08008200	0x08008243	thumb	sub_08008200
0x08008244	0x080082DB	thumb	sub_08008244
0x080082DC	0x080083A7	thumb	sub_080082DC
0x080083A8	0x080083AB	thumb	nullsub_4
0x080083AC	0x080083AF	thumb	nullsub_5
0x080083B0	0x080083B3	thumb	nullsub_61
0x080083B4	0x080083B7	thumb	nullsub_62
0x080083B8	0x08008703	thumb	setup_overworld_music
0x08008704	0x08008829	thumb	sub_08008704
0x0800882C	0x080088AB	thumb	sub_0800882C
0x080088AC	0x0800891F	thumb	sub_080088AC
0x08008920	0x080089DF	thumb	draw_message
0x080089E0	0x080089EF	thumb	sub_080089E0
0x080089F0	0x08008BAB	thumb	sub_080089F0
0x08008BAC	0x08008C27	thumb	sub_08008BAC
0x08008C28	0x08008C6F	thumb	sub_08008C28
0x08008C70	0x08008D37	thumb	sub_08008C70
0x08008D38	0x08008D3B	thumb	nullsub_63
0x08008D3C	0x08008E07	thumb	sub_08008D3C
0x08008E08	0x08008ECB	thumb	sub_08008E08
0x08008ECC	0x08008F0B	thumb	sub_08008ECC
0x08008F0C	0x08009263	thumb	sub_08008F0C
0x08009264	0x080092AF	thumb	sub_08009264
0x080092B0	0x0800932B	thumb	sub_080092B0
0x0800932C	0x08009393	thumb	sub_0800932C
0x08009394	0x080093EF	thumb	sub_08009394
0x080093F0	0x0800946B	thumb	sub_080093F0
0x0800946C	0x08009567	thumb	sub_0800946C
0x08009568	0x080096EB	thumb	sub_08009568
0x080096EC	0x08009827	thumb	sub_080096EC
0x08009828	0x08009A47	thumb	sub_08009828
0x08009A48	0x08009AF3	thumb	sub_08009A48
0x08009AF4	0x08009B97	thumb	sub_08009AF4
0x08009B98	0x08009C4B	thumb	sub_08009B98
0x08009C4C	0x08009C67	thumb	sub_08009C4C
0x08009C68	0x08009C83	thumb	sub_08009C68
0x08009C84	0x08009CD7	thumb	sub_08009C84
0x08009CD8	0x08009D6B	thumb	sub_08009CD8
0x08009D6C	0x08009DDB	thumb	sub_08009D6C
0x08009DDC	0x08009E17	thumb	sub_08009DDC
0x08009E18	0x08009E37	thumb	sub_08009E18
0x08009E38	0x08009F0F	thumb	sub_08009E38
0x08009F10	0x08009F6F	thumb	sub_08009F10
0x08009F70	0x08009FD3	thumb	sub_08009F70
0x08009FD4	0x0800A07B	thumb	sub_08009FD4
0x0800A07C	0x0800A08F	thumb	sub_0800A07C
0x0800A090	0x0800A0A3	thumb	sub_0800A090
0x0800A0A4	0x0800A1C3	thumb	sub_0800A0A4
0x0800A1C4	0x0800A23F	thumb	sub_0800A1C4
0x0800A240	0x0800A2CB	thumb	sub_0800A240
0x0800A2CC	0x0800A353	thumb	sub_0800A2CC
0x0800A354	0x0800A3B3	thumb	sub_0800A354
0x0800A3B4	0x0800A3EB	thumb	sub_0800A3B4
0x0800A3EC	0x0800A47F	thumb	sub_0800A3EC
0x0800A480	0x0800A4C7	thumb	sub_0800A480
0x0800A4C8	0x0800A677	thumb	sub_0800A4C8
0x0800A678	0x0800A8DB	thumb	sub_0800A678
0x0800A8DC	0x0800A9DF	thumb	sub_0800A8DC
