# addr	mode	name  (STT_FUNC from a byte-matching decomp ELF; blank name = let the finder synthesise one)
0x080052E4	thumb	sub_080052E4
0x08005350	thumb	nullsub_3
0x08005354	thumb	sub_08005354
0x08005364	thumb	sub_08005364
0x080053D0	thumb	sub_080053D0
0x0800545C	thumb	sub_0800545C
0x080054A0	thumb	sub_080054A0
0x080055E4	thumb	sub_080055E4
0x080056E4	thumb	sub_080056E4
0x08005730	thumb	sub_08005730
0x08005844	thumb	nullsub_60
0x08005848	thumb	sub_08005848
0x08005890	thumb	sub_08005890
0x080058D8	thumb	sub_080058D8
0x08005900	thumb	sub_08005900
0x08005A3C	thumb	sub_08005A3C
0x08005A70	thumb	sub_08005A70
0x08005A94	thumb	sub_08005A94
0x08005AD8	thumb	sub_08005AD8
0x08005B34	thumb	sub_08005B34
0x08005B68	thumb	sub_08005B68
0x08005BB4	thumb	sub_08005BB4
0x08005BFC	thumb	sub_08005BFC
0x08005C14	thumb	sub_08005C14
0x08005C38	thumb	sub_08005C38
0x08005C4C	thumb	sub_08005C4C
0x08005D54	thumb	sub_08005D54
0x08005FB4	thumb	sub_08005FB4
0x080061CC	thumb	sub_080061CC
0x080062F0	thumb	sub_080062F0
0x080064A8	thumb	sub_080064A8
0x080066B4	thumb	sub_080066B4
0x0800677C	thumb	sub_0800677C
0x080067B4	thumb	sub_080067B4
0x080067DC	thumb	sub_080067DC
0x08006850	thumb	sub_08006850
0x08006868	thumb	sub_08006868
0x0800687C	thumb	sub_0800687C
0x080068B8	thumb	sub_080068B8
0x08006944	thumb	sub_08006944
0x08006968	thumb	sub_08006968
0x08006A88	thumb	sub_08006A88
0x08006ACC	thumb	sub_08006ACC
0x08006B40	thumb	sub_08006B40
0x08006E80	thumb	sub_08006E80
0x08006F78	thumb	sub_08006F78
0x0800724C	thumb	sub_0800724C
0x08007318	thumb	sub_08007318
0x08007358	thumb	sub_08007358
0x08007398	thumb	sub_08007398
0x08007760	thumb	sub_08007760
0x08007AD4	thumb	sub_08007AD4
0x08007CC0	thumb	sub_08007CC0
0x08007CE8	thumb	sub_08007CE8
0x08007D18	thumb	sub_08007D18
0x08007D94	thumb	sub_08007D94
0x08007DEC	thumb	sub_08007DEC
0x08007E2C	thumb	sub_08007E2C
0x08007E54	thumb	sub_08007E54
0x08007F18	thumb	sub_08007F18
0x08007F64	thumb	sub_08007F64
0x08007FC8	thumb	sub_08007FC8
0x0800800C	thumb	sub_0800800C
0x0800809C	thumb	sub_0800809C
0x080080BC	thumb	sub_080080BC
0x080080DC	thumb	sub_080080DC
0x08008110	thumb	sub_08008110
0x08008200	thumb	sub_08008200
0x08008244	thumb	sub_08008244
0x080082DC	thumb	sub_080082DC
0x080083A8	thumb	nullsub_4
0x080083AC	thumb	nullsub_5
0x080083B0	thumb	nullsub_61
0x080083B4	thumb	nullsub_62
0x080083B8	thumb	setup_overworld_music
0x08008704	thumb	sub_08008704
0x0800882C	thumb	sub_0800882C
0x080088AC	thumb	sub_080088AC
0x08008920	thumb	draw_message
0x080089E0	thumb	sub_080089E0
0x080089F0	thumb	sub_080089F0
0x08008BAC	thumb	sub_08008BAC
0x08008C28	thumb	sub_08008C28
0x08008C70	thumb	sub_08008C70
0x08008D38	thumb	nullsub_63
0x08008D3C	thumb	sub_08008D3C
0x08008E08	thumb	sub_08008E08
0x08008ECC	thumb	sub_08008ECC
0x08008F0C	thumb	sub_08008F0C
0x08009264	thumb	sub_08009264
0x080092B0	thumb	sub_080092B0
0x0800932C	thumb	sub_0800932C
0x08009394	thumb	sub_08009394
0x080093F0	thumb	sub_080093F0
0x0800946C	thumb	sub_0800946C
0x08009568	thumb	sub_08009568
0x080096EC	thumb	sub_080096EC
0x08009828	thumb	sub_08009828
0x08009A48	thumb	sub_08009A48
0x08009AF4	thumb	sub_08009AF4
0x08009B98	thumb	sub_08009B98
0x08009C4C	thumb	sub_08009C4C
0x08009C68	thumb	sub_08009C68
0x08009C84	thumb	sub_08009C84
0x08009CD8	thumb	sub_08009CD8
0x08009D6C	thumb	sub_08009D6C
0x08009DDC	thumb	sub_08009DDC
0x08009E18	thumb	sub_08009E18
0x08009E38	thumb	sub_08009E38
0x08009F10	thumb	sub_08009F10
0x08009F70	thumb	sub_08009F70
0x08009FD4	thumb	sub_08009FD4
0x0800A07C	thumb	sub_0800A07C
0x0800A090	thumb	sub_0800A090
0x0800A0A4	thumb	sub_0800A0A4
0x0800A1C4	thumb	sub_0800A1C4
0x0800A240	thumb	sub_0800A240
0x0800A2CC	thumb	sub_0800A2CC
0x0800A354	thumb	sub_0800A354
0x0800A3B4	thumb	sub_0800A3B4
0x0800A3EC	thumb	sub_0800A3EC
0x0800A480	thumb	sub_0800A480
0x0800A4C8	thumb	sub_0800A4C8
0x0800A678	thumb	sub_0800A678
0x0800A8DC	thumb	sub_0800A8DC
0x0800A9E0	thumb	sub_0800A9E0
0x0800AAC8	thumb	sub_0800AAC8
0x0800AB64	thumb	sub_0800AB64
0x0800AB74	thumb	sub_0800AB74
0x0800ACA0	thumb	sub_0800ACA0
0x0800AD6C	thumb	sub_0800AD6C
0x0800ADBC	thumb	sub_0800ADBC
0x0800AE2C	thumb	sub_0800AE2C
0x0800AF44	thumb	sub_0800AF44
0x0800AFC0	thumb	sub_0800AFC0
0x0800B00C	thumb	sub_0800B00C
0x0800B1FC	thumb	sub_0800B1FC
0x0800B358	thumb	sub_0800B358
0x0800B474	thumb	sub_0800B474
0x0800B504	thumb	sub_0800B504
0x0800B614	thumb	sub_0800B614
0x0800B63C	thumb	sub_0800B63C
0x0800B660	thumb	sub_0800B660
0x0800B7AC	thumb	sub_0800B7AC
0x0800BB54	thumb	sub_0800BB54
0x0800BBF4	thumb	sub_0800BBF4
0x0800BC48	thumb	sub_0800BC48
0x0800BE04	thumb	sub_0800BE04
0x0800C030	thumb	sub_0800C030
0x0800C10C	thumb	sub_0800C10C
0x0800C694	thumb	sub_0800C694
0x0800CBE0	thumb	sub_0800CBE0
0x0800CCA8	thumb	sub_0800CCA8
0x0800CDD0	thumb	sub_0800CDD0
0x0800D0F0	thumb	sub_0800D0F0
0x0800D6F0	thumb	sub_0800D6F0
0x0800D814	thumb	sub_0800D814
0x0800DA8C	thumb	sub_0800DA8C
0x0800E338	thumb	sub_0800E338
0x0800E450	thumb	sub_0800E450
0x0800E4A0	thumb	sub_0800E4A0
0x0800E500	thumb	sub_0800E500
0x0800E550	thumb	sub_0800E550
0x0800E5B0	thumb	sub_0800E5B0
0x0800E5FC	thumb	sub_0800E5FC
0x0800E654	thumb	sub_0800E654
0x0800E6A0	thumb	sub_0800E6A0
0x0800E6FC	thumb	sub_0800E6FC
0x0800E85C	thumb	nullsub_64
0x0800E860	thumb	sub_0800E860
0x0800EA38	thumb	sub_0800EA38
0x0800EBA0	thumb	sub_0800EBA0
0x0800EBD8	thumb	sub_0800EBD8
0x0800EBF8	thumb	sub_0800EBF8
0x0800EC30	thumb	sub_0800EC30
0x0800ECC8	thumb	sub_0800ECC8
0x0800EDCC	thumb	sub_0800EDCC
0x0800EE50	thumb	sub_0800EE50
0x0800EED0	thumb	sub_0800EED0
0x0800EF9C	thumb	sub_0800EF9C
0x0800EFF4	thumb	sub_0800EFF4
0x0800F040	thumb	sub_0800F040
0x0800F314	thumb	sub_0800F314
0x0800F454	thumb	sub_0800F454
0x0800F580	thumb	sub_0800F580
0x0800F5EC	thumb	sub_0800F5EC
0x0800F99C	thumb	sub_0800F99C
0x0800FC00	thumb	sub_0800FC00
0x0800FCE8	thumb	sub_0800FCE8
0x0800FDA8	thumb	sub_0800FDA8
0x0800FDE8	thumb	sub_0800FDE8
0x080101F8	thumb	sub_080101F8
0x080104BC	thumb	sub_080104BC
0x08010528	thumb	sub_08010528
0x0801059C	thumb	sub_0801059C
0x080105F4	thumb	sub_080105F4
0x08010624	thumb	sub_08010624
0x080106CC	thumb	sub_080106CC
0x08010808	thumb	sub_08010808
